Date,Species,Order,Habitat,study_site,FixedTime2,DifCivTwi1,Body_size_cm,Weight_g,Feeding,FixedTime3,new_feed
2022-04-04,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-04 04:56:00,-61.0,25,34,Frugivore,2022-04-04 04:56:00,Insectivore
2022-04-04,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-04 06:27:00,30.0,24,78,Frugivore,2022-04-04 06:27:00,Frugivore/Insectivore
2022-04-04,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-04 06:27:00,30.0,24,78,Frugivore,2022-04-04 06:27:00,Frugivore/Insectivore
2022-04-04,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-04 06:27:00,30.0,24,78,Frugivore,2022-04-04 06:27:00,Frugivore/Insectivore
2022-04-04,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-04 06:27:00,30.0,24,78,Frugivore,2022-04-04 06:27:00,Frugivore/Insectivore
2022-04-04,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-04 06:27:00,30.0,24,78,Frugivore,2022-04-04 06:27:00,Frugivore/Insectivore
2022-04-04,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-04 06:27:00,30.0,24,78,Frugivore,2022-04-04 06:27:00,Frugivore/Insectivore
2022-04-04,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-04 06:27:00,30.0,24,78,Frugivore,2022-04-04 06:27:00,Frugivore/Insectivore
2022-04-04,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-04 06:27:00,30.0,24,78,Frugivore,2022-04-04 06:27:00,Frugivore/Insectivore
2022-04-04,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-04 06:27:00,30.0,24,78,Frugivore,2022-04-04 06:27:00,Frugivore/Insectivore
2022-04-04,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-04 06:27:00,30.0,24,78,Frugivore,2022-04-04 06:27:00,Frugivore/Insectivore
2022-04-04,Ptilorrhoa leucosticta,Passeriformes,Understory,site_1,2022-04-04 06:40:00,43.0,22,48,Frugivore,2022-04-04 06:40:00,Insectivore
2022-04-04,Ptilorrhoa leucosticta,Passeriformes,Understory,site_1,2022-04-04 06:40:00,43.0,22,48,Frugivore,2022-04-04 06:40:00,Insectivore
2022-04-04,Ptilorrhoa leucosticta,Passeriformes,Understory,site_1,2022-04-04 06:40:00,43.0,22,48,Frugivore,2022-04-04 06:40:00,Insectivore
2022-04-04,Ptilorrhoa leucosticta,Passeriformes,Understory,site_1,2022-04-04 06:40:00,43.0,22,48,Frugivore,2022-04-04 06:40:00,Insectivore
2022-04-04,Ptilorrhoa leucosticta,Passeriformes,Understory,site_1,2022-04-04 06:40:00,43.0,22,48,Frugivore,2022-04-04 06:40:00,Insectivore
2022-04-04,Ptilorrhoa leucosticta,Passeriformes,Understory,site_1,2022-04-04 06:40:00,43.0,22,48,Frugivore,2022-04-04 06:40:00,Insectivore
2022-04-04,Ptilorrhoa leucosticta,Passeriformes,Understory,site_1,2022-04-04 06:40:00,43.0,22,48,Frugivore,2022-04-04 06:40:00,Insectivore
2022-04-04,Ptilorrhoa leucosticta,Passeriformes,Understory,site_1,2022-04-04 06:40:00,43.0,22,48,Frugivore,2022-04-04 06:40:00,Insectivore
2022-04-05,Melidora macrorrhina,Coraciiformes,Both,site_1,2022-04-05 04:43:00,-74.0,27,98,Frugivore,2022-04-05 04:43:00,Insectivore
2022-04-05,Melidora macrorrhina,Coraciiformes,Both,site_1,2022-04-05 04:43:00,-74.0,27,98,Frugivore,2022-04-05 04:43:00,Insectivore
2022-04-05,Melidora macrorrhina,Coraciiformes,Both,site_1,2022-04-05 04:43:00,-74.0,27,98,Frugivore,2022-04-05 04:43:00,Insectivore
2022-04-05,Melidora macrorrhina,Coraciiformes,Both,site_1,2022-04-05 04:43:00,-74.0,27,98,Frugivore,2022-04-05 04:43:00,Insectivore
2022-04-05,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-05 05:09:00,-48.0,24,78,Frugivore,2022-04-05 05:09:00,Frugivore/Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore/Insectivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore/Insectivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore/Insectivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore/Insectivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore/Insectivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore/Insectivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Poecilodryas hypoleuca,Passeriformes,Understory,site_1,2022-04-05 05:22:00,-35.0,14,18,Frugivore/Insectivore,2022-04-05 05:22:00,Insectivore
2022-04-05,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-05 05:40:00,-17.0,24,78,Frugivore/Insectivore,2022-04-05 05:40:00,Frugivore/Insectivore
2022-04-05,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-05 07:06:00,69.0,25,34,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-05 07:06:00,69.0,25,34,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-05 07:06:00,69.0,25,34,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-05 07:06:00,69.0,25,34,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-05 07:06:00,69.0,25,34,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-05 07:06:00,69.0,25,34,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-05 07:06:00,69.0,25,34,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-05 07:06:00,69.0,25,34,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ceyx lepidus,Coraciiformes,Understory,site_1,2022-04-05 07:06:00,69.0,14,19,Frugivore/Insectivore,2022-04-05 07:06:00,Insectivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-05,Ptilinopus magnificus,Columbiformes,Understory,site_1,2022-04-05 07:19:00,82.0,42,156,Frugivore/Insectivore,2022-04-05 07:19:00,Frugivore
2022-04-06,Ptilorrhoa caerulescens,Passeriformes,Understory,site_1,2022-04-06 05:22:00,-35.0,22,49,Frugivore/Insectivore,2022-04-06 05:22:00,Insectivore
2022-04-06,Ptilorrhoa caerulescens,Passeriformes,Understory,site_1,2022-04-06 05:22:00,-35.0,22,49,Frugivore/Insectivore,2022-04-06 05:22:00,Insectivore
2022-04-06,Ptilorrhoa caerulescens,Passeriformes,Understory,site_1,2022-04-06 05:22:00,-35.0,22,49,Frugivore/Insectivore,2022-04-06 05:22:00,Insectivore
2022-04-06,Microdynamis parva,Cuculiformes,Canopy,site_1,2022-04-06 05:35:00,-22.0,20,43,Frugivore/Insectivore,2022-04-06 05:35:00,Frugivore
2022-04-06,Microdynamis parva,Cuculiformes,Canopy,site_1,2022-04-06 05:35:00,-22.0,20,43,Frugivore/Insectivore,2022-04-06 05:35:00,Frugivore
2022-04-06,Microdynamis parva,Cuculiformes,Canopy,site_1,2022-04-06 05:35:00,-22.0,20,43,Frugivore/Insectivore,2022-04-06 05:35:00,Frugivore
2022-04-06,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-06 05:48:00,-9.0,25,34,Frugivore/Insectivore,2022-04-06 05:48:00,Insectivore
2022-04-06,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-06 05:48:00,-9.0,25,34,Frugivore/Insectivore,2022-04-06 05:48:00,Insectivore
2022-04-06,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-06 05:48:00,-9.0,25,34,Frugivore/Insectivore,2022-04-06 05:48:00,Insectivore
2022-04-06,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-06 05:48:00,-9.0,25,34,Frugivore/Insectivore,2022-04-06 05:48:00,Insectivore
2022-04-06,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-06 05:48:00,-9.0,25,34,Frugivore/Insectivore,2022-04-06 05:48:00,Insectivore
2022-04-06,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-06 05:48:00,-9.0,25,34,Frugivore/Insectivore,2022-04-06 05:48:00,Insectivore
2022-04-06,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-06 05:48:00,-9.0,25,34,Frugivore/Insectivore,2022-04-06 05:48:00,Insectivore
2022-04-06,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-06 05:48:00,-9.0,25,34,Frugivore/Insectivore,2022-04-06 05:48:00,Insectivore
2022-04-06,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-06 05:48:00,-9.0,25,34,Frugivore/Insectivore,2022-04-06 05:48:00,Insectivore
2022-04-06,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-06 05:48:00,-9.0,25,34,Frugivore/Insectivore,2022-04-06 05:48:00,Insectivore
2022-04-06,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-06 05:48:00,-9.0,25,34,Frugivore/Insectivore,2022-04-06 05:48:00,Insectivore
2022-04-06,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-06 05:48:00,-9.0,25,34,Frugivore/Insectivore,2022-04-06 05:48:00,Insectivore
2022-04-06,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-06 07:04:04,67.06666666666666,25,34,Frugivore/Insectivore,2022-04-06 07:04:04,Insectivore
2022-04-07,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-07 04:43:00,-74.0,24,78,Frugivore/Insectivore,2022-04-07 04:43:00,Frugivore/Insectivore
2022-04-07,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-07 04:43:00,-74.0,24,78,Frugivore/Insectivore,2022-04-07 04:43:00,Frugivore/Insectivore
2022-04-07,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-07 04:43:00,-74.0,24,78,Frugivore/Insectivore,2022-04-07 04:43:00,Frugivore/Insectivore
2022-04-07,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-07 04:43:00,-74.0,24,78,Frugivore/Insectivore,2022-04-07 04:43:00,Frugivore/Insectivore
2022-04-07,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-07 04:43:00,-74.0,24,78,Frugivore/Insectivore,2022-04-07 04:43:00,Frugivore/Insectivore
2022-04-07,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-07 04:43:00,-74.0,24,78,Frugivore/Insectivore,2022-04-07 04:43:00,Frugivore/Insectivore
2022-04-07,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-07 04:43:00,-74.0,24,78,Frugivore/Insectivore,2022-04-07 04:43:00,Frugivore/Insectivore
2022-04-07,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-07 04:43:00,-74.0,24,78,Frugivore/Insectivore,2022-04-07 04:43:00,Frugivore/Insectivore
2022-04-07,Pitohui kirhocephalus,Passeriformes,Understory,site_1,2022-04-07 04:43:00,-74.0,24,78,Frugivore/Insectivore,2022-04-07 04:43:00,Frugivore/Insectivore
2022-04-07,Tanysiptera galatea,Coraciiformes,Understory,site_1,2022-04-07 05:19:00,-38.0,38,64,Frugivore/Insectivore,2022-04-07 05:19:00,Insectivore
2022-04-07,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-07 05:22:00,-35.0,25,34,Frugivore/Insectivore,2022-04-07 05:22:00,Insectivore
2022-04-07,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-07 05:22:00,-35.0,25,34,Frugivore/Insectivore,2022-04-07 05:22:00,Insectivore
2022-04-07,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-07 05:22:00,-35.0,25,34,Frugivore/Insectivore,2022-04-07 05:22:00,Insectivore
2022-04-07,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-07 05:22:00,-35.0,25,34,Frugivore/Insectivore,2022-04-07 05:22:00,Insectivore
2022-04-07,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-07 05:22:00,-35.0,25,34,Frugivore/Insectivore,2022-04-07 05:22:00,Insectivore
2022-04-07,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-07 05:22:00,-35.0,25,34,Frugivore/Insectivore,2022-04-07 05:22:00,Insectivore
2022-04-07,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-07 05:22:00,-35.0,25,34,Frugivore/Insectivore,2022-04-07 05:22:00,Insectivore
2022-04-07,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-07 05:22:00,-35.0,25,34,Frugivore/Insectivore,2022-04-07 05:22:00,Insectivore
2022-04-07,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-07 05:22:00,-35.0,25,34,Frugivore/Insectivore,2022-04-07 05:22:00,Insectivore
2022-04-07,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-07 05:22:00,-35.0,25,34,Frugivore/Insectivore,2022-04-07 05:22:00,Insectivore
2022-04-07,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-07 05:22:00,-35.0,25,34,Frugivore/Insectivore,2022-04-07 05:22:00,Insectivore
2022-04-07,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-07 05:22:00,-35.0,25,34,Frugivore/Insectivore,2022-04-07 05:22:00,Insectivore
2022-04-07,Cacomantis variolosus,Cuculiformes,Canopy,site_1,2022-04-07 05:35:00,-22.0,25,34,Frugivore/Insectivore,2022-04-07 05:35:00,Insectivore
2022-04-07,Toxorhamphus novaeguineae,Passeriformes,Both,site_1,2022-04-07 05:35:00,-22.0,12,13,Frugivore/Insectivore,2022-04-07 05:35:00,Insectivore
2022-04-07,Toxorhamphus novaeguineae,Passeriformes,Both,site_1,2022-04-07 05:35:00,-22.0,12,13,Frugivore/Insectivore,2022-04-07 05:35:00,Insectivore
2022-04-07,Toxorhamphus novaeguineae,Passeriformes,Both,site_1,2022-04-07 05:35:00,-22.0,12,13,Frugivore/Insectivore,2022-04-07 05:35:00,Insectivore
2022-04-07,Toxorhamphus novaeguineae,Passeriformes,Both,site_1,2022-04-07 05:35:00,-22.0,12,13,Frugivore/Insectivore,2022-04-07 05:35:00,Insectivore
2022-04-07,Toxorhamphus novaeguineae,Passeriformes,Both,site_1,2022-04-07 05:35:00,-22.0,12,13,Frugivore/Insectivore,2022-04-07 05:35:00,Insectivore
2022-04-07,Toxorhamphus novaeguineae,Passeriformes,Both,site_1,2022-04-07 05:35:00,-22.0,12,13,Frugivore/Insectivore,2022-04-07 05:35:00,Insectivore
2022-04-07,Toxorhamphus novaeguineae,Passeriformes,Both,site_1,2022-04-07 05:35:00,-22.0,12,13,Frugivore/Insectivore,2022-04-07 05:35:00,Insectivore
2022-04-07,Toxorhamphus novaeguineae,Passeriformes,Both,site_1,2022-04-07 05:35:00,-22.0,12,13,Frugivore/Insectivore,2022-04-07 05:35:00,Insectivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
2022-04-07,Mino dumontii,Passeriformes,Canopy,site_1,2022-04-07 05:48:00,-9.0,25,217,Frugivore/Insectivore,2022-04-07 05:48:00,Frugivore
